campo|business_term|spiegazione|obbligatorio|numerosità|condizionalità|offset|lunghezza
Identifiant du vendeur (SIRET)|BT-29b|IDENTIFIANT||0..n|BR-FR-CO-10 : ID privés des parties@@@@@@Lorsque les Identifiants privés des acteurs sont multiples (par exemple BT-29), ils doivent être qualifiés par un identifiant du schéma (BT-29-1), il ne peut y avoir 2 identifiants privés avec le même identifiant du schéma	BR-FR-CO-11 : ID privés des parties@@@@@@Les identifiants privés des parties permettent de fournir des identifiants spécifiques, qualifiés par l'identifiant du schema (codelist ICD). Ainsi :@@@- un SIRET (identifiant du schema = 0009)@@@- un CODE_ROUTAGE (identifiant du schema = 0224)@@@- Le SIREN de l'assujetti unique du Vendeur (identifiant du schema : 0231), uniquement en BT-29	BR-FR-09 : Cohérence SIRET SIREN@@@@@@Dans une Partie, si le SIRET est renseigné (ID Privé, 0009), Les 9 premiers chiffres du SIRET doivent correspondre au SIREN renseigné en ID légal (schemeID 0002) et le SIRET doit faire 14 chiffres|<VENDEUR> <Identifiant du vendeur (SIRET)>|
Identifiant du schéma (SIRET)|BT-29b-1|IDENTIFIANT|X|1..1|BR-FR-CO-10 : ID privés des parties@@@@@@Lorsque les Identifiants privés des acteurs sont multiples (par exemple BT-29), ils doivent être qualifiés par un identifiant du schéma (BT-29-1), il ne peut y avoir 2 identifiants privés avec le même identifiant du schéma	BR-FR-CO-11 : ID privés des parties@@@@@@Les identifiants privés des parties permettent de fournir des identifiants spécifiques, qualifiés par l'identifiant du schema (codelist ICD). Ainsi :@@@- un SIRET (identifiant du schema = 0009)@@@- un CODE_ROUTAGE (identifiant du schema = 0224)@@@- Le SIREN de l'assujetti unique du Vendeur (identifiant du schema : 0231), uniquement en BT-29	BR-FR-09 : Cohérence SIRET SIREN@@@@@@Dans une Partie, si le SIRET est renseigné (ID Privé, 0009), Les 9 premiers chiffres du SIRET doivent correspondre au SIREN renseigné en ID légal (schemeID 0002) et le SIRET doit faire 14 chiffres|<VENDEUR> <Identifiant du vendeur (SIRET)> <Identifiant du schéma (SIRET)>|
Identifiant du vendeur (routage)|BT-29c|IDENTIFIANT||0..n|BR-FR-CO-10 : ID privés des parties@@@@@@Lorsque les Identifiants privés des acteurs sont multiples (par exemple BT-29), ils doivent être qualifiés par un identifiant du schéma (BT-29-1), il ne peut y avoir 2 identifiants privés avec le même identifiant du schéma	BR-FR-CO-11 : ID privés des parties@@@@@@Les identifiants privés des parties permettent de fournir des identifiants spécifiques, qualifiés par l'identifiant du schema (codelist ICD). Ainsi :@@@- un SIRET (identifiant du schema = 0009)@@@- un CODE_ROUTAGE (identifiant du schema = 0224)@@@- Le SIREN de l'assujetti unique du Vendeur (identifiant du schema : 0231), uniquement en BT-29	BR-FR-24 : Code_Routage@@@@@@Toute IDprivé d'une partie avec schemeID = 0224 est composé de caractères alphanumériques (A-Z, a-z, 0-9). Les caractères spéciaux suivants sont autorisés :@@@- tiret ("-")@@@- tiret bas (underscore : "_")@@@- pont (".")	BR-FR-26 : Code_Routage@@@@@@Toute IDprivé d'une partie avec schemeID = 0224 ne doit pas dépasser 100 caractères|<VENDEUR> <Identifiant du vendeur (routage)>|
Identifiant du schéma (routage)|BT-29c-1|IDENTIFIANT|X|1..1|BR-FR-CO-10 : ID privés des parties@@@@@@Lorsque les Identifiants privés des acteurs sont multiples (par exemple BT-29), ils doivent être qualifiés par un identifiant du schéma (BT-29-1), il ne peut y avoir 2 identifiants privés avec le même identifiant du schéma	BR-FR-CO-11 : ID privés des parties@@@@@@Les identifiants privés des parties permettent de fournir des identifiants spécifiques, qualifiés par l'identifiant du schema (codelist ICD). Ainsi :@@@- un SIRET (identifiant du schema = 0009)@@@- un CODE_ROUTAGE (identifiant du schema = 0224)@@@- Le SIREN de l'assujetti unique du Vendeur (identifiant du schema : 0231), uniquement en BT-29	BR-FR-24 : Code_Routage@@@@@@Toute IDprivé d'une partie avec schemeID = 0224 est composé de caractères alphanumériques (A-Z, a-z, 0-9). Les caractères spéciaux suivants sont autorisés :@@@- tiret ("-")@@@- tiret bas (underscore : "_")@@@- pont (".")	BR-FR-26 : Code_Routage@@@@@@Toute IDprivé d'une partie avec schemeID = 0224 ne doit pas dépasser 100 caractères|<VENDEUR> <Identifiant du vendeur (routage)> <Identifiant du schéma (routage)>|
Identifiant du vendeur (Assujetti unique)|BT-29d|IDENTIFIANT||0..n|BR-FR-CO-10 : ID privés des parties@@@@@@Lorsque les Identifiants privés des acteurs sont multiples (par exemple BT-29), ils doivent être qualifiés par un identifiant du schéma (BT-29-1), il ne peut y avoir 2 identifiants privés avec le même identifiant du schéma	BR-FR-CO-11 : ID privés des parties@@@@@@Les identifiants privés des parties permettent de fournir des identifiants spécifiques, qualifiés par l'identifiant du schema (codelist ICD). Ainsi :@@@- un SIRET (identifiant du schema = 0009)@@@- un CODE_ROUTAGE (identifiant du schema = 0224)@@@- Le SIREN de l'assujetti unique du Vendeur (identifiant du schema : 0231), uniquement en BT-29	BR-FR-CO-14 : Assujetti Unique Vendeur@@@@@@S'il existe une occurrence de BT-29 avec un schéma d'identification BT-29-1 = 0231, alors le Vendeur est Membre d'un Assujetti Unique (AU), et un bloc BG-1 DOIT être présent avec pour Code sujet (BT-21) = "TXD" ET un texte de note (BT-22) = "MEMBRE_ASSUJETTI_UNIQUE".	BR-FR-CO-15 : Assujetti Unique Vendeur@@@@@@S'il existe une occurrence de BT-29 avec un schéma d'identification BT-29-1 = 0231, alors le Vendeur est Membre d'un Assujetti Unique (AU) et le Bloc du Représentant fiscal du Vendeur (BG-11) DOIT être présent et contient les informations de l'Assujetti Unique (et en particulier son n° de TVA en BT-63)|<VENDEUR> <Identifiant du vendeur (Assujetti unique)>|@@@9
Identifiant du schéma (Assujetti unique)|BT-29d-1|IDENTIFIANT|X|1..1|BR-FR-CO-10 : ID privés des parties@@@@@@Lorsque les Identifiants privés des acteurs sont multiples (par exemple BT-29), ils doivent être qualifiés par un identifiant du schéma (BT-29-1), il ne peut y avoir 2 identifiants privés avec le même identifiant du schéma	BR-FR-CO-11 : ID privés des parties@@@@@@Les identifiants privés des parties permettent de fournir des identifiants spécifiques, qualifiés par l'identifiant du schema (codelist ICD). Ainsi :@@@- un SIRET (identifiant du schema = 0009)@@@- un CODE_ROUTAGE (identifiant du schema = 0224)@@@- Le SIREN de l'assujetti unique du Vendeur (identifiant du schema : 0231), uniquement en BT-29	BR-FR-CO-14 : Assujetti Unique Vendeur@@@@@@S'il existe une occurrence de BT-29 avec un schéma d'identification BT-29-1 = 0231, alors le Vendeur est Membre d'un Assujetti Unique (AU), et un bloc BG-1 DOIT être présent avec pour Code sujet (BT-21) = "TXD" ET un texte de note (BT-22) = "MEMBRE_ASSUJETTI_UNIQUE".	BR-FR-CO-13 : Assujetti Unique Vendeur@@@@@@S'il existe une occurrence de BT-29 avec un schéma d'identification BT-29-1 = 0231, alors le Vendeur est Membre d'un Assujetti Unique (AU), et le numéro de SIREN de l'Assujetti Unique en BT-29 avec le schéma d'identification (BT-29-1) = 0231 DOIT être présent dans l'Annuaire PPF|<VENDEUR> <Identifiant du vendeur (Assujetti unique)> <Identifiant du schéma (Assujetti unique)>|4
Numéro de SIREN|BT-30|IDENTIFIANT||0..1|BR-FR-10 : Gestion du SIREN@@@@@@Le SIREN du Vendeur est Obligatoire, et doit être présent et actif dans l'annuaire PPF	BR-FR-MAP-16 : Identifiant du Vendeur et de l'Acheteur en flux 10@@@@@@L'identifiant du Vendeur (TT-33-1) renseigné est défini par le qualifiant :@@@- "0002" --> SIREN sur 9 caractères@@@- "0223" --> UE_HORS_FRANCE (correspond à l'identifiant de TVA intracommunautaire) sur 18 caractères@@@- "0227" --> HORS_UE (dont Wallis et Futuna) (correspond au code Pays et aux 16 premiers caractères de la raison sociale) sur 18 caractères@@@- "0228" --> RIDET sur  9 ou 10 caractères@@@- "0229" --> TAHITI sur  9 caractères@@@@@@L'identifiant de l'Acheteur (TT-37) renseigné est défini par le qualifiant :@@@- "0002" --> SIREN sur 9 caractères@@@- "0223" --> UE_HORS_FRANCE (correspond à l'identifiant de TVA intracommunautaire) sur 18 caractères@@@- "0227" --> HORS_UE (dont Wallis et Futuna) (correspond au code Pays et aux 16 premiers caractères de la raison sociale) sur  18 caractères@@@- "0228" --> RIDET sur  9 ou 10 caractères@@@- "0229" --> TAHITI sur  9 caractères	BR-FR-CO-02 : Unicité de la facture@@@@@@L'identifiant unique de facture doit être composé des éléments suivants:@@@- Numéro de facture (BT-1)@@@- Année de production de la facture (Issue de la date d'émission de la facture (BT-2))@@@- Identifiant légal du Vendeur : numéro SIREN (BT-30)@@@@@@L’unicité de la facture vise à éviter les erreurs de facturation (double facturation notamment). Une facture présentant des informations similaires cumulativement sur ces trois données par rapport à une facture précédemment envoyée fera l’objet d’un rejet par les plateformes.@@@Le contrôle d’unicité est systématiquement bloquant.@@@@@@En cas de mandat de facturation, le numéro de facture doit comporter une racine propre au mandataire pour éviter les doublons de facture avec celles de son mandant.@@@@@@Le numéro de facture doit respecter la règlementation du BOFIP suivante:@@@BOI-TVA-DECLA-30-20-20-10 du 18/10/2023@@@Section : A. La numérotation des factures	BR-FR-10 : Gestion du SIREN@@@@@@Le SIREN du Vendeur est Obligatoire, et doit être présent et actif dans l'annuaire PPF|<VENDEUR> <Numéro de SIREN>|9
Identifiant du schéma|BT-30-1|IDENTIFIANT|X|1..1||<VENDEUR> <Numéro de SIREN> <Identifiant du schéma>|4
Identifiant à la TVA du vendeur|BT-31|IDENTIFIANT||0..1|BR-FR-MAP-16 : Identifiant du Vendeur et de l'Acheteur en flux 10@@@@@@L'identifiant du Vendeur (TT-33-1) renseigné est défini par le qualifiant :@@@- "0002" --> SIREN sur 9 caractères@@@- "0223" --> UE_HORS_FRANCE (correspond à l'identifiant de TVA intracommunautaire) sur 18 caractères@@@- "0227" --> HORS_UE (dont Wallis et Futuna) (correspond au code Pays et aux 16 premiers caractères de la raison sociale) sur 18 caractères@@@- "0228" --> RIDET sur  9 ou 10 caractères@@@- "0229" --> TAHITI sur  9 caractères@@@@@@L'identifiant de l'Acheteur (TT-37) renseigné est défini par le qualifiant :@@@- "0002" --> SIREN sur 9 caractères@@@- "0223" --> UE_HORS_FRANCE (correspond à l'identifiant de TVA intracommunautaire) sur 18 caractères@@@- "0227" --> HORS_UE (dont Wallis et Futuna) (correspond au code Pays et aux 16 premiers caractères de la raison sociale) sur  18 caractères@@@- "0228" --> RIDET sur  9 ou 10 caractères@@@- "0229" --> TAHITI sur  9 caractères|<VENDEUR> <Identifiant à la TVA du vendeur>|18;18
Qualifiant d'Identifiant à la TVA du Vendeur|BT-31-0|CODE|X|1..1||<VENDEUR> <Identifiant à la TVA du vendeur> <Qualifiant d'Identifiant à la TVA du Vendeur>|3
Identifiant fiscal du vendeur|BT-32|IDENTIFIANT||0..1||<VENDEUR> <Identifiant fiscal du vendeur>|
Qualifiant d'Identifiant fiscal du Vendeur|BT-32-0|CODE|X|1..1||<VENDEUR> <Identifiant fiscal du vendeur> <Qualifiant d'Identifiant fiscal du Vendeur>|
Forme juridique et capital social pour les sociétés|BT-33|TEXTE||0..1||<VENDEUR> <Forme juridique et capital social pour les sociétés>|
Adresse électronique du vendeur|BT-34|IDENTIFIANT||0..1|BR-FR-13 : Adresse électronique du Vendeur@@@@@@Dès lors que la facture électronique doit être transmise et attend des statuts de cycle de vie en retour, l'adresse électronique du Vendeur (BT-34) est OBLIGATOIRE. C'est l'adresse électronique à laquelle la facture en autofacturation est transmise, ainsi que les statuts de cycle de vie à destination du Vendeur.@@@@@@Pour information (géré par d'autres règles) : @@@Pour les factures en autofacturation relevant du périmètre "e-invoicing", cette adresse électronique DOIT être de la forme "SIREN" ou "SIREN_XXX", le SIREN étant celui du Vendeur renseigné en BT-30, avec un schemeId (BT-34-1) = 0225.@@@@@@Pour les factures hors périmètre "e-invoicing" ou dans le périmètre "e-invoicing" mais pas en autofacturation, l'adresse électronique du Vendeur DOIT être dans un des schemesID de la liste de codes EAS (y compris un email, avec schemeID (BT-34-1) = EM).@@@@@@Pour les factures mises à disposition sur un portail, une adresse email de type "noreply@domaineduvendeur" peut être utilisée pour signifier l'absence d'adresse électronique du Vendeur.	BR-FR-22 : Adresse électronique du Vendeur@@@@@@Si la facture contient une note avec Code SUJET(BT-21) = BAR et un contenu (BT-22) = B2B@@@ET@@@Si la facture est autofacturée (BT-3 dans liste ('389', '501', '500', '471', '473', '261', '502')@@@@@@ALORS l'adresse de facturation électronique du VENDEUR (BT-34) doit commencer par le N° SIREN du VENDEUR (BT-30) ET le schemeID de l'adresse (BT-30-1) DOIT être égal à 0225	BR-FR-23 : Adresse électronique en 0225@@@@@@Toute adresse électronique avec schemeID = 0225 est composé de caractères alphanumériques (A-Z, a-z, 0-9). Les caractères spéciaux suivants sont autorisés :@@@- tiret ("-")@@@- tiret bas (underscore : "_")@@@- pont (".")	BR-FR-25 : Adresse électronique@@@@@@Toute adresse électronique ne doit pas dépasser 125 caractères|<VENDEUR> <Adresse électronique du vendeur>|125
Identifiant du schéma|BT-34-1|IDENTIFIANT|X|1..1|BR-FR-13 : Adresse électronique du Vendeur@@@@@@Dès lors que la facture électronique doit être transmise et attend des statuts de cycle de vie en retour, l'adresse électronique du Vendeur (BT-34) est OBLIGATOIRE. C'est l'adresse électronique à laquelle la facture en autofacturation est transmise, ainsi que les statuts de cycle de vie à destination du Vendeur.@@@@@@Pour information (géré par d'autres règles) : @@@Pour les factures en autofacturation relevant du périmètre "e-invoicing", cette adresse électronique DOIT être de la forme "SIREN" ou "SIREN_XXX", le SIREN étant celui du Vendeur renseigné en BT-30, avec un schemeId (BT-34-1) = 0225.@@@@@@Pour les factures hors périmètre "e-invoicing" ou dans le périmètre "e-invoicing" mais pas en autofacturation, l'adresse électronique du Vendeur DOIT être dans un des schemesID de la liste de codes EAS (y compris un email, avec schemeID (BT-34-1) = EM).@@@@@@Pour les factures mises à disposition sur un portail, une adresse email de type "noreply@domaineduvendeur" peut être utilisée pour signifier l'absence d'adresse électronique du Vendeur.	BR-FR-22 : Adresse électronique du Vendeur@@@@@@Si la facture contient une note avec Code SUJET(BT-21) = BAR et un contenu (BT-22) = B2B@@@ET@@@Si la facture est autofacturée (BT-3 dans liste ('389', '501', '500', '471', '473', '261', '502')@@@@@@ALORS l'adresse de facturation électronique du VENDEUR (BT-34) doit commencer par le N° SIREN du VENDEUR (BT-30) ET le schemeID de l'adresse (BT-30-1) DOIT être égal à 0225	BR-FR-23 : Adresse électronique en 0225@@@@@@Toute adresse électronique avec schemeID = 0225 est composé de caractères alphanumériques (A-Z, a-z, 0-9). Les caractères spéciaux suivants sont autorisés :@@@- tiret ("-")@@@- tiret bas (underscore : "_")@@@- pont (".")	BR-FR-25 : Adresse électronique@@@@@@Toute adresse électronique ne doit pas dépasser 125 caractères|<VENDEUR> <Adresse électronique du vendeur> <Identifiant du schéma>|
ADRESSE POSTALE DU VENDEUR|BG-5||X|1..1||<VENDEUR> <ADRESSE POSTALE DU VENDEUR>|
Adresse du vendeur - Ligne 1|BT-35|TEXTE||0..1||<VENDEUR> <ADRESSE POSTALE DU VENDEUR> <Adresse du vendeur - Ligne 1>|
Adresse du vendeur - Ligne 2|BT-36|TEXTE||0..1||<VENDEUR> <ADRESSE POSTALE DU VENDEUR> <Adresse du vendeur - Ligne 2>|
Adresse du vendeur - Ligne 3|BT-162|TEXTE||0..1||<VENDEUR> <ADRESSE POSTALE DU VENDEUR> <Adresse du vendeur - Ligne 3>|
Localité du vendeur|BT-37|TEXTE||0..1||<VENDEUR> <ADRESSE POSTALE DU VENDEUR> <Localité du vendeur>|
Code postal du vendeur|BT-38|TEXTE||0..1||<VENDEUR> <ADRESSE POSTALE DU VENDEUR> <Code postal du vendeur>|
Subdivision du pays du vendeur|BT-39|TEXTE||0..1||<VENDEUR> <ADRESSE POSTALE DU VENDEUR> <Subdivision du pays du vendeur>|
Code de pays du vendeur|BT-40|CODE|X|1..1|BR-FR-MAP-14 : Code Pays@@@@@@Les Codes Pays des DOM/COM ci-dessous doivent être remplacés par FR dans les flux 1 et 10@@@@@@Guyane française (la ) => GF@@@Terres australes françaises (les) TF@@@Guadeloupe (la) => GP@@@Guyana (le) => GY@@@Martinique (la) =>MQ@@@Mayotte => YT@@@Réunion (La) =>RE@@@Saint-Barthélemy => BL@@@Saint-Martin (partie française) => MF@@@Saint-Pierre-et-Miquelon => PM|<VENDEUR> <ADRESSE POSTALE DU VENDEUR> <Code de pays du vendeur>|2
CONTACT DU VENDEUR|BG-6|||0..1||<VENDEUR> <CONTACT DU VENDEUR>|
Point de contact du vendeur|BT-41|TEXTE||0..1||<VENDEUR> <CONTACT DU VENDEUR> <Point de contact du vendeur>|
Numéro de téléphone du contact du vendeur|BT-42|TEXTE||0..1||<VENDEUR> <CONTACT DU VENDEUR> <Numéro de téléphone du contact du vendeur>|
Adresse électronique du contact du vendeur|BT-43|TEXTE||0..1||<VENDEUR> <CONTACT DU VENDEUR> <Adresse électronique du contact du vendeur>|
ACHETEUR|BG-7||X|1..1||<ACHETEUR>|
Raison sociale de l'acheteur|BT-44|TEXTE|X|1..1||<ACHETEUR> <Raison sociale de l'acheteur>|
Appellation commerciale de l'acheteur|BT-45|TEXTE||0..1||<ACHETEUR> <Appellation commerciale de l'acheteur>|
Identifiant complémentaire de l'acheteur|BT-46|IDENTIFIANT||0..n|BR-FR-CO-10 : ID privés des parties@@@@@@Lorsque les Identifiants privés des acteurs sont multiples (par exemple BT-29), ils doivent être qualifiés par un identifiant du schéma (BT-29-1), il ne peut y avoir 2 identifiants privés avec le même identifiant du schéma	BR-FR-CO-11 : ID privés des parties@@@@@@Les identifiants privés des parties permettent de fournir des identifiants spécifiques, qualifiés par l'identifiant du schema (codelist ICD). Ainsi :@@@- un SIRET (identifiant du schema = 0009)@@@- un CODE_ROUTAGE (identifiant du schema = 0224)@@@- Le SIREN de l'assujetti unique du Vendeur (identifiant du schema : 0231), uniquement en BT-29	BR-FR-09 : Cohérence SIRET SIREN@@@@@@Dans une Partie, si le SIRET est renseigné (ID Privé, 0009), Les 9 premiers chiffres du SIRET doivent correspondre au SIREN renseigné en ID légal (schemeID 0002) et le SIRET doit faire 14 chiffres	BR-FR-24 : Code_Routage@@@@@@Toute IDprivé d'une partie avec schemeID = 0224 est composé de caractères alphanumériques (A-Z, a-z, 0-9). Les caractères spéciaux suivants sont autorisés :@@@- tiret ("-")@@@- tiret bas (underscore : "_")@@@- pont (".")|<ACHETEUR> <Identifiant complémentaire de l'acheteur>|
Identifiant du schéma|BT-46-1|IDENTIFIANT|X|1..1|BR-FR-CO-10 : ID privés des parties@@@@@@Lorsque les Identifiants privés des acteurs sont multiples (par exemple BT-29), ils doivent être qualifiés par un identifiant du schéma (BT-29-1), il ne peut y avoir 2 identifiants privés avec le même identifiant du schéma	BR-FR-CO-11 : ID privés des parties@@@@@@Les identifiants privés des parties permettent de fournir des identifiants spécifiques, qualifiés par l'identifiant du schema (codelist ICD). Ainsi :@@@- un SIRET (identifiant du schema = 0009)@@@- un CODE_ROUTAGE (identifiant du schema = 0224)@@@- Le SIREN de l'assujetti unique du Vendeur (identifiant du schema : 0231), uniquement en BT-29	BR-FR-09 : Cohérence SIRET SIREN@@@@@@Dans une Partie, si le SIRET est renseigné (ID Privé, 0009), Les 9 premiers chiffres du SIRET doivent correspondre au SIREN renseigné en ID légal (schemeID 0002) et le SIRET doit faire 14 chiffres	BR-FR-24 : Code_Routage@@@@@@Toute IDprivé d'une partie avec schemeID = 0224 est composé de caractères alphanumériques (A-Z, a-z, 0-9). Les caractères spéciaux suivants sont autorisés :@@@- tiret ("-")@@@- tiret bas (underscore : "_")@@@- pont (".")|<ACHETEUR> <Identifiant complémentaire de l'acheteur> <Identifiant du schéma>|
Identifiant de l'acheteur (SIRET)|BT-46b|IDENTIFIANT||0..n|BR-FR-CO-10 : ID privés des parties@@@@@@Lorsque les Identifiants privés des acteurs sont multiples (par exemple BT-29), ils doivent être qualifiés par un identifiant du schéma (BT-29-1), il ne peut y avoir 2 identifiants privés avec le même identifiant du schéma	BR-FR-CO-11 : ID privés des parties@@@@@@Les identifiants privés des parties permettent de fournir des identifiants spécifiques, qualifiés par l'identifiant du schema (codelist ICD). Ainsi :@@@- un SIRET (identifiant du schema = 0009)@@@- un CODE_ROUTAGE (identifiant du schema = 0224)@@@- Le SIREN de l'assujetti unique du Vendeur (identifiant du schema : 0231), uniquement en BT-29	BR-FR-09 : Cohérence SIRET SIREN@@@@@@Dans une Partie, si le SIRET est renseigné (ID Privé, 0009), Les 9 premiers chiffres du SIRET doivent correspondre au SIREN renseigné en ID légal (schemeID 0002) et le SIRET doit faire 14 chiffres|<ACHETEUR> <Identifiant de l'acheteur (SIRET)>|
Identifiant du schéma (SIRET)|BT-46b-1|IDENTIFIANT|X|1..1|BR-FR-CO-10 : ID privés des parties@@@@@@Lorsque les Identifiants privés des acteurs sont multiples (par exemple BT-29), ils doivent être qualifiés par un identifiant du schéma (BT-29-1), il ne peut y avoir 2 identifiants privés avec le même identifiant du schéma	BR-FR-CO-11 : ID privés des parties@@@@@@Les identifiants privés des parties permettent de fournir des identifiants spécifiques, qualifiés par l'identifiant du schema (codelist ICD). Ainsi :@@@- un SIRET (identifiant du schema = 0009)@@@- un CODE_ROUTAGE (identifiant du schema = 0224)@@@- Le SIREN de l'assujetti unique du Vendeur (identifiant du schema : 0231), uniquement en BT-29	BR-FR-09 : Cohérence SIRET SIREN@@@@@@Dans une Partie, si le SIRET est renseigné (ID Privé, 0009), Les 9 premiers chiffres du SIRET doivent correspondre au SIREN renseigné en ID légal (schemeID 0002) et le SIRET doit faire 14 chiffres|<ACHETEUR> <Identifiant de l'acheteur (SIRET)> <Identifiant du schéma (SIRET)>|
Identifiant de l'acheteur (routage)|BT-46c|IDENTIFIANT||0..n|BR-FR-CO-10 : ID privés des parties@@@@@@Lorsque les Identifiants privés des acteurs sont multiples (par exemple BT-29), ils doivent être qualifiés par un identifiant du schéma (BT-29-1), il ne peut y avoir 2 identifiants privés avec le même identifiant du schéma	BR-FR-CO-11 : ID privés des parties@@@@@@Les identifiants privés des parties permettent de fournir des identifiants spécifiques, qualifiés par l'identifiant du schema (codelist ICD). Ainsi :@@@- un SIRET (identifiant du schema = 0009)@@@- un CODE_ROUTAGE (identifiant du schema = 0224)@@@- Le SIREN de l'assujetti unique du Vendeur (identifiant du schema : 0231), uniquement en BT-29	BR-FR-24 : Code_Routage@@@@@@Toute IDprivé d'une partie avec schemeID = 0224 est composé de caractères alphanumériques (A-Z, a-z, 0-9). Les caractères spéciaux suivants sont autorisés :@@@- tiret ("-")@@@- tiret bas (underscore : "_")@@@- pont (".")	BR-FR-26 : Code_Routage@@@@@@Toute IDprivé d'une partie avec schemeID = 0224 ne doit pas dépasser 100 caractères|<ACHETEUR> <Identifiant de l'acheteur (routage)>|
Identifiant du schéma (routage)|BT-46c-1|IDENTIFIANT|X|1..1|BR-FR-CO-10 : ID privés des parties@@@@@@Lorsque les Identifiants privés des acteurs sont multiples (par exemple BT-29), ils doivent être qualifiés par un identifiant du schéma (BT-29-1), il ne peut y avoir 2 identifiants privés avec le même identifiant du schéma	BR-FR-CO-11 : ID privés des parties@@@@@@Les identifiants privés des parties permettent de fournir des identifiants spécifiques, qualifiés par l'identifiant du schema (codelist ICD). Ainsi :@@@- un SIRET (identifiant du schema = 0009)@@@- un CODE_ROUTAGE (identifiant du schema = 0224)@@@- Le SIREN de l'assujetti unique du Vendeur (identifiant du schema : 0231), uniquement en BT-29	BR-FR-24 : Code_Routage@@@@@@Toute IDprivé d'une partie avec schemeID = 0224 est composé de caractères alphanumériques (A-Z, a-z, 0-9). Les caractères spéciaux suivants sont autorisés :@@@- tiret ("-")@@@- tiret bas (underscore : "_")@@@- pont (".")	BR-FR-26 : Code_Routage@@@@@@Toute IDprivé d'une partie avec schemeID = 0224 ne doit pas dépasser 100 caractères|<ACHETEUR> <Identifiant de l'acheteur (routage)> <Identifiant du schéma (routage)>|
Numéro de SIREN|BT-47|IDENTIFIANT||0..1|BR-FR-11 : Gestion du SIREN@@@@@@Pour les factures relevant du périmètre "e-invoicing", le SIREN de l'Acheteur est Obligatoire, et doit être présent et actif dans l'annuaire PPF	BR-FR-MAP-16 : Identifiant du Vendeur et de l'Acheteur en flux 10@@@@@@L'identifiant du Vendeur (TT-33-1) renseigné est défini par le qualifiant :@@@- "0002" --> SIREN sur 9 caractères@@@- "0223" --> UE_HORS_FRANCE (correspond à l'identifiant de TVA intracommunautaire) sur 18 caractères@@@- "0227" --> HORS_UE (dont Wallis et Futuna) (correspond au code Pays et aux 16 premiers caractères de la raison sociale) sur 18 caractères@@@- "0228" --> RIDET sur  9 ou 10 caractères@@@- "0229" --> TAHITI sur  9 caractères@@@@@@L'identifiant de l'Acheteur (TT-37) renseigné est défini par le qualifiant :@@@- "0002" --> SIREN sur 9 caractères@@@- "0223" --> UE_HORS_FRANCE (correspond à l'identifiant de TVA intracommunautaire) sur 18 caractères@@@- "0227" --> HORS_UE (dont Wallis et Futuna) (correspond au code Pays et aux 16 premiers caractères de la raison sociale) sur  18 caractères@@@- "0228" --> RIDET sur  9 ou 10 caractères@@@- "0229" --> TAHITI sur  9 caractères|<ACHETEUR> <Numéro de SIREN>|9
Identifiant du schéma|BT-47-1|IDENTIFIANT|X|1..1||<ACHETEUR> <Numéro de SIREN> <Identifiant du schéma>|4
Identifiant à la TVA  de l'acheteur|BT-48|IDENTIFIANT||0..1|BR-FR-MAP-16 : Identifiant du Vendeur et de l'Acheteur en flux 10@@@@@@L'identifiant du Vendeur (TT-33-1) renseigné est défini par le qualifiant :@@@- "0002" --> SIREN sur 9 caractères@@@- "0223" --> UE_HORS_FRANCE (correspond à l'identifiant de TVA intracommunautaire) sur 18 caractères@@@- "0227" --> HORS_UE (dont Wallis et Futuna) (correspond au code Pays et aux 16 premiers caractères de la raison sociale) sur 18 caractères@@@- "0228" --> RIDET sur  9 ou 10 caractères@@@- "0229" --> TAHITI sur  9 caractères@@@@@@L'identifiant de l'Acheteur (TT-37) renseigné est défini par le qualifiant :@@@- "0002" --> SIREN sur 9 caractères@@@- "0223" --> UE_HORS_FRANCE (correspond à l'identifiant de TVA intracommunautaire) sur 18 caractères@@@- "0227" --> HORS_UE (dont Wallis et Futuna) (correspond au code Pays et aux 16 premiers caractères de la raison sociale) sur  18 caractères@@@- "0228" --> RIDET sur  9 ou 10 caractères@@@- "0229" --> TAHITI sur  9 caractères|<ACHETEUR> <Identifiant à la TVA  de l'acheteur>|18;18
Qualifiant d'Identifiant fiscal de l'acheteur|BT-48-0|CODE|X|1..1||<ACHETEUR> <Identifiant à la TVA  de l'acheteur> <Qualifiant d'Identifiant fiscal de l'acheteur>|3
